threshold,cv,seed,readout_pos,prec_zone_width,time,num_threads
0.01,0.1,56,2.35758,1.59264,927.446,120
0.01,0.1,57,2.20606,1.24694,1108.85,120
0.01,0.1,58,2.43939,1.49668,904.124,120
0.01,0.1,59,2.3697,1.48262,1114.16,120
0.01,0.1,60,2.26364,1.50775,1011.85,120
0.01,0.1,61,2.2697,1.36151,1038.3,120
0.01,0.1,62,2.30606,1.45093,1296.17,120
0.01,0.1,63,2.45455,1.1592,1162.69,120
0.01,0.1,64,2.29697,1.33179,1174.28,120
0.01,0.1,65,2.48182,1.45958,1224.21,120
0.01,0.1,66,2.49697,1.58756,1096.44,120
0.01,0.1,67,2.1303,1.33798,1243.83,120
0.01,0.1,68,2.33333,1.62309,1096.25,120
0.01,0.1,69,2.37576,1.46041,1260.53,120
0.01,0.1,70,2.34242,1.28665,1091.25,120
0.01,0.1,71,2.37576,1.47228,980.651,120
0.01,0.1,72,2.55455,1.50871,932.536,120
0.01,0.1,73,2.26061,1.35696,910.042,120
0.01,0.1,74,2.27576,1.66081,907.745,120
0.01,0.1,75,2.40303,1.39361,1055.06,120
0.01,0.1,76,2.44848,2.23192,993.372,120
0.01,0.1,77,2.59697,1.58448,1071.15,120
0.01,0.1,78,2.26364,1.54127,1175.2,120
0.01,0.1,79,2.28485,1.36514,934.393,120
0.01,0.1,80,2.23333,1.58708,1065.79,120
0.01,0.1,81,2.33939,1.34125,989.514,120
0.01,0.1,82,2.31212,1.25147,1135.6,120
0.01,0.1,83,2.52727,1.58071,844.832,120
0.01,0.1,84,2.44242,1.34302,970.492,120
0.01,0.1,85,2.35758,1.75138,1051.85,120
0.01,0.1,86,2.44242,1.44687,1155.91,120
0.01,0.1,87,2.46061,1.52339,923.359,120
0.01,0.1,88,2.32424,1.40322,1214.8,120
0.01,0.1,89,2.51212,1.41111,898.004,120
0.01,0.1,90,2.32727,1.77571,835.419,120
0.01,0.1,91,2.43636,1.33925,950.347,120
0.01,0.1,92,2.50303,1.40867,906.341,120
0.01,0.1,93,2.51212,1.48361,1136.32,120
0.01,0.1,94,2.34848,1.47946,1115.11,120
0.01,0.1,95,2.26667,1.42875,1063.16,120
0.01,0.1,96,2.48788,31.2028,940.437,120
0.01,0.1,97,2.53939,1.14717,874.155,120
0.01,0.1,98,2.44545,1.25533,1043.69,120
0.01,0.1,99,2.22121,1.37075,1109.66,120
0.01,0.3,0,1.89394,1.64725,1041.25,120
0.01,0.3,1,1.40909,1.30279,1019.81,120
0.01,0.3,2,1.08182,1.27638,1090.88,120
0.01,0.3,3,2.03636,1.49607,894.562,120
0.01,0.3,4,1.22424,1.75668,1169.95,120
0.01,0.3,5,2.23939,1.5825,950.265,120
0.01,0.3,6,1.63939,1.49122,1115.59,120
0.01,0.3,7,1.30909,1.61246,1193.54,120
